constructor_id,constructor_ref,name,nationality
198,march-ford,March-Ford,British
199,lotus-pw,Lotus-Pratt &amp; Whitney,British
200,shadow-ford,Shadow-Ford,British
201,shadow-matra,Shadow-Matra,British
202,brabham-alfa_romeo,Brabham-Alfa Romeo,British
203,lotus_racing,Lotus,Malaysian
204,marussia,Marussia,Russian
205,caterham,Caterham,Malaysian
206,lotus_f1,Lotus F1,British
207,manor,Manor Marussia,British
208,haas,Haas F1 Team,American
209,racing_point,Racing Point,British
210,alphatauri,AlphaTauri,Italian
211,alpine,Alpine F1 Team,French
